year;month;date;service;depart_st;arrival_st;avg_duration;exp_monthly_trains;cancelled_nb;delay>15;delay>30;delay>60;delay_external;delay_infrastructure;delay_traffic_management;delay_rolling_stock;delay_station_management;delay_passenger_related
2018;Jan;2018-01-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141;870;5;110;44;8;36.13;31.09;10.92;15.97;5.04;0.84
2018;Jan;2018-01-01;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165;222;0;22;5;0;15.38;30.77;38.46;11.54;3.85;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;QUIMPER;220;248;1;26;17;7;26.92;38.46;15.38;19.23;0.0;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;ST MALO;156;102;0;8;6;4;23.08;46.15;7.69;15.38;7.69;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;391;2;17;6;0;21.21;42.42;9.09;21.21;6.06;0.0
2018;Jan;2018-01-01;National;QUIMPER;PARIS MONTPARNASSE;223;256;1;21;9;2;27.78;55.56;0.0;5.56;5.56;5.56
2018;Jan;2018-01-01;National;RENNES;LYON PART DIEU;233;99;0;6;2;1;0.0;50.0;25.0;25.0;0.0;0.0
2018;Jan;2018-01-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61;410;1;26;9;0;22.73;45.45;16.67;12.12;1.52;1.52
2018;Jan;2018-01-01;National;TOURS;PARIS MONTPARNASSE;75;194;0;7;1;0;25.0;56.25;6.25;12.5;0.0;0.0
2018;Jan;2018-01-01;National;NANTES;STRASBOURG;303;39;0;5;2;1;0.0;0.0;33.33;33.33;0.0;33.33
2018;Jan;2018-01-01;National;PARIS EST;STRASBOURG;112;494;9;11;5;1;25.0;8.33;8.33;50.0;8.33;0.0
2018;Jan;2018-01-01;National;STRASBOURG;PARIS EST;112;507;7;34;11;1;35.9;12.82;17.95;15.38;5.13;12.82
2018;Jan;2018-01-01;National;DUNKERQUE;PARIS NORD;116;245;1;19;8;2;26.09;26.09;26.09;17.39;4.35;0.0
2018;Jan;2018-01-01;National;LILLE;LYON PART DIEU;190;292;8;31;22;13;40.0;30.0;5.0;20.0;5.0;0.0
2018;Jan;2018-01-01;National;BORDEAUX ST JEAN;TOURCOING;301;31;0;3;2;1;0.0;33.33;66.67;0.0;0.0;0.0
2018;Jan;2018-01-01;National;PARIS VAUGIRARD;NANTES;140;62;0;6;3;3;30.0;30.0;20.0;10.0;10.0;0.0
2018;Jan;2018-01-01;National;RENNES;PARIS VAUGIRARD;111;31;0;2;0;0;50.0;0.0;50.0;0.0;0.0;0.0
2018;Jan;2018-01-01;National;TOURCOING;BORDEAUX ST JEAN;286;31;0;7;3;1;0.0;0.0;33.33;66.67;0.0;0.0
2018;Jan;2018-01-01;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;184;278;1;60;26;12;24.14;17.24;32.76;20.69;3.45;1.72
2018;Jan;2018-01-01;National;LYON PART DIEU;MARNE LA VALLEE;109;316;3;53;27;10;18.37;34.69;12.24;20.41;6.12;8.16
2018;Jan;2018-01-01;National;MONTPELLIER;PARIS LYON;206;340;2;58;31;11;22.0;38.0;12.0;22.0;2.0;4.0
2018;Jan;2018-01-01;National;MULHOUSE VILLE;PARIS LYON;168;328;8;19;8;4;37.5;12.5;29.17;4.17;4.17;12.5
2018;Jan;2018-01-01;National;NICE VILLE;PARIS LYON;346;197;0;33;20;8;38.71;25.81;9.68;19.35;0.0;6.45
2018;Jan;2018-01-01;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;186;271;0;26;17;5;14.71;26.47;20.59;32.35;5.88;0.0
2018;Jan;2018-01-01;National;PARIS LYON;LYON PART DIEU;119;630;1;49;24;5;22.03;44.07;11.86;20.34;1.69;0.0
2018;Jan;2018-01-01;International;BARCELONA;PARIS LYON;390;35;0;7;3;3;14.29;14.29;14.29;57.14;0.0;0.0
2018;Jan;2018-01-01;International;GENEVE;PARIS LYON;194;230;1;36;19;7;69.44;16.67;5.56;0.0;5.56;2.78
2018;Jan;2018-01-01;International;MADRID;MARSEILLE ST CHARLES;481;16;1;3;0;0;0.0;0.0;66.67;33.33;0.0;0.0
2018;Jan;2018-01-01;International;PARIS EST;FRANCFORT;226;177;2;20;6;2;30.0;30.0;25.0;15.0;0.0;0.0
2018;Jan;2018-01-01;International;PARIS LYON;ZURICH;241;153;3;28;11;3;17.86;21.43;25.0;21.43;3.57;10.71
2018;Jan;2018-01-01;National;BREST;PARIS MONTPARNASSE;225;284;3;19;5;2;33.33;53.33;0.0;13.33;0.0;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;ANGOULEME;126;239;4;15;3;0;15.38;38.46;19.23;23.08;3.85;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;POITIERS;93;506;4;16;6;0;26.92;42.31;11.54;19.23;0.0;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;TOURS;72;186;0;9;5;0;19.23;46.15;11.54;19.23;3.85;0.0
2018;Jan;2018-01-01;National;POITIERS;PARIS MONTPARNASSE;94;472;4;42;10;0;15.79;45.61;19.3;15.79;1.75;1.75
2018;Jan;2018-01-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;184;0;26;12;3;59.09;22.73;4.55;9.09;4.55;0.0
2018;Jan;2018-01-01;National;PARIS EST;METZ;84;310;0;7;1;0;26.67;6.67;13.33;40.0;13.33;0.0
2018;Jan;2018-01-01;National;PARIS EST;REIMS;45;218;1;6;0;0;18.75;12.5;6.25;18.75;43.75;0.0
2018;Jan;2018-01-01;National;REIMS;PARIS EST;46;230;1;20;3;0;17.95;41.03;20.51;5.13;0.0;15.38
2018;Jan;2018-01-01;National;STRASBOURG;NANTES;286;40;1;5;2;2;20.0;20.0;40.0;20.0;0.0;0.0
2018;Jan;2018-01-01;National;DOUAI;PARIS NORD;77;197;3;10;5;3;36.36;18.18;22.73;18.18;4.55;0.0
2018;Jan;2018-01-01;National;LILLE;PARIS NORD;63;579;9;38;17;10;36.23;8.7;21.74;23.19;5.8;4.35
2018;Jan;2018-01-01;National;LILLE;MARSEILLE ST CHARLES;307;190;4;35;13;7;57.14;19.05;4.76;9.52;4.76;4.76
2018;Jan;2018-01-01;National;PARIS NORD;DOUAI;69;192;2;11;5;3;37.5;33.33;12.5;12.5;4.17;0.0
2018;Jan;2018-01-01;National;NANTES;PARIS VAUGIRARD;143;62;0;5;3;1;0.0;50.0;0.0;16.67;16.67;16.67
2018;Jan;2018-01-01;National;TOURCOING;MARSEILLE ST CHARLES;309;31;1;1;1;0;100.0;0.0;0.0;0.0;0.0;0.0
