Date;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Nombre trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour cause infrastructure;Prct retard pour cause matériel roulant
2023-01;BORDEAUX ST JEAN;PARIS MONTPARNASSE;140;1075;66;115;60;28;27.54;11.59
2023-01;CHAMBERY CHALLES LES EAUX;PARIS LYON;180;334;16;64;19;6;29.58;2.82
2023-01;MACON LOCHE;PARIS LYON;99;252;15;59;16;3;24.64;5.8
2023-01;METZ;PARIS EST;89;310;18;25;15;6;9.09;20.45
2023-01;MONTPELLIER;PARIS LYON;212;249;7;28;10;4;28.57;25.0
2023-01;PARIS EST;METZ;86;277;16;25;17;6;9.76;21.95
2023-01;PARIS LYON;AIX EN PROVENCE TGV;187;461;18;39;19;3;15.0;22.5
2023-01;PARIS LYON;ANNECY;229;154;8;24;11;0;16.67;37.5
2023-01;PARIS LYON;NICE VILLE;353;225;6;34;14;6;38.24;8.82
2023-01;PARIS MONTPARNASSE;ANGOULEME;122;304;26;18;10;5;29.03;19.35
2023-01;PARIS MONTPARNASSE;POITIERS;93;559;38;29;15;8;24.0;32.0
2023-01;PARIS MONTPARNASSE;TOURS;74;194;9;8;3;1;14.29;23.81
2023-01;PARIS NORD;DUNKERQUE;128;199;16;7;6;2;28.57;14.29
2023-01;QUIMPER;PARIS MONTPARNASSE;234;251;8;31;16;9;29.03;19.35
2023-01;REIMS;PARIS EST;45;244;20;15;5;2;8.33;20.83
2023-01;ST MALO;PARIS MONTPARNASSE;153;98;3;5;2;0;36.36;18.18
2023-01;TOULOUSE MATABIAU;PARIS MONTPARNASSE;268;222;12;31;19;9;12.9;9.68
2023-01;VALENCE ALIXAN TGV;PARIS LYON;135;383;19;43;11;4;23.73;15.25
2023-01;ANGOULEME;PARIS MONTPARNASSE;125;334;20;32;17;11;5.41;13.51
2023-01;ANNECY;PARIS LYON;227;155;9;36;9;2;33.33;2.78
2023-01;BELLEGARDE (AIN);PARIS LYON;168;291;19;23;14;7;34.29;14.29
2023-01;DOUAI;PARIS NORD;75;191;12;8;3;2;12.12;18.18
2023-01;GRENOBLE;PARIS LYON;186;227;15;29;13;5;20.69;6.9
2023-01;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;85;218;6;14;4;2;26.47;17.65
2023-01;LYON PART DIEU;LILLE;187;300;15;64;29;9;16.44;27.4
2023-01;LYON PART DIEU;PARIS LYON;123;732;29;44;21;11;22.73;25.76
2023-01;MARSEILLE ST CHARLES;MARNE LA VALLEE;210;275;13;44;26;8;25.0;22.73
2023-01;NICE VILLE;PARIS LYON;355;218;7;35;16;8;28.57;8.57
2023-01;PARIS LYON;BELLEGARDE (AIN);167;294;20;34;12;5;17.78;22.22
2023-01;PARIS LYON;CHAMBERY CHALLES LES EAUX;179;335;14;47;27;4;17.19;39.06
2023-01;PARIS LYON;LYON PART DIEU;123;728;27;49;23;3;9.52;19.05
2023-01;PARIS LYON;MONTPELLIER;217;209;6;22;15;3;9.09;54.55
2023-01;PARIS LYON;PERPIGNAN;310;195;15;16;6;2;18.75;56.25
2023-01;PARIS MONTPARNASSE;ANGERS SAINT LAUD;90;509;19;29;13;7;18.03;21.31
2023-01;PARIS MONTPARNASSE;NANTES;129;593;25;46;23;8;18.33;18.33
2023-01;PARIS MONTPARNASSE;RENNES;98;735;27;39;14;7;18.31;19.72
2023-01;PARIS MONTPARNASSE;ST MALO;153;97;9;5;1;0;0.0;33.33
2023-01;PARIS MONTPARNASSE;ST PIERRE DES CORPS;62;524;31;18;7;0;20.41;16.33
2023-01;VANNES;PARIS MONTPARNASSE;166;290;9;35;18;9;27.5;22.5
2023-01;AIX EN PROVENCE TGV;PARIS LYON;189;433;16;40;25;11;20.0;10.0
2023-01;ARRAS;PARIS NORD;50;514;31;18;6;5;9.72;20.83
2023-01;BORDEAUX ST JEAN;TOURCOING;332;31;2;0;0;0;0.0;0.0
2023-01;DUNKERQUE;PARIS NORD;131;172;13;6;2;2;10.0;20.0
2023-01;LA ROCHELLE VILLE;PARIS MONTPARNASSE;172;215;16;13;7;4;0.0;13.33
2023-01;LAVAL;PARIS MONTPARNASSE;81;297;9;24;14;9;33.33;20.51
2023-01;LYON PART DIEU;MARNE LA VALLEE;110;322;15;53;32;10;18.06;18.06
2023-01;LYON PART DIEU;MARSEILLE ST CHARLES;103;459;25;64;26;11;15.19;27.85
2023-01;MARNE LA VALLEE;MARSEILLE ST CHARLES;214;273;15;39;16;6;10.26;30.77
2023-01;MARSEILLE ST CHARLES;LILLE;282;196;9;40;21;6;20.0;25.0
2023-01;MARSEILLE ST CHARLES;TOURCOING;284;31;2;6;3;0;33.33;16.67
2023-01;MONTPELLIER;LYON PART DIEU;116;197;11;14;6;2;27.27;4.55
2023-01;NIMES;PARIS LYON;181;240;7;27;10;4;27.27;18.18
2023-01;PARIS LYON;AVIGNON TGV;164;407;16;36;16;2;14.0;22.0
2023-01;PARIS LYON;BESANCON FRANCHE COMTE TGV;133;173;12;4;2;1;0.0;57.14
2023-01;PARIS LYON;MARSEILLE ST CHARLES;201;581;22;47;22;3;19.15;25.53
2023-01;PARIS MONTPARNASSE;LA ROCHELLE VILLE;174;231;17;13;8;2;11.76;47.06
2023-01;PARIS MONTPARNASSE;LE MANS;55;436;20;21;9;4;19.05;30.95
2023-01;PARIS NORD;ARRAS;48;520;29;13;13;4;0.0;38.46
2023-01;RENNES;LYON PART DIEU;238;84;4;10;6;3;30.0;10.0
2023-01;ST PIERRE DES CORPS;PARIS MONTPARNASSE;65;545;25;28;11;7;13.79;8.62
2023-01;STRASBOURG;PARIS EST;116;547;42;56;24;6;5.41;14.86
2023-01;TOURCOING;BORDEAUX ST JEAN;295;31;3;2;2;2;0.0;0.0
2023-01;ANGERS SAINT LAUD;PARIS MONTPARNASSE;97;551;23;33;18;5;20.0;9.09
2023-01;BESANCON FRANCHE COMTE TGV;PARIS LYON;135;183;8;13;8;5;14.29;42.86
2023-01;BREST;PARIS MONTPARNASSE;228;289;12;25;13;13;28.0;24.0
2023-01;LYON PART DIEU;MONTPELLIER;112;218;16;15;6;2;21.05;15.79
2023-01;LYON PART DIEU;RENNES;239;84;3;7;4;2;42.86;0.0
2023-01;MULHOUSE VILLE;PARIS LYON;173;337;18;28;17;11;25.0;15.62
2023-01;NANCY;PARIS EST;95;283;20;20;9;3;26.92;15.38
2023-01;NANTES;PARIS MONTPARNASSE;135;624;26;42;22;7;14.29;8.93
2023-01;NANTES;STRASBOURG;316;57;4;5;1;0;0.0;20.0
2023-01;PARIS EST;REIMS;46;246;16;11;5;0;0.0;44.44
2023-01;PARIS LYON;GRENOBLE;186;244;14;20;10;1;10.0;30.0
2023-01;PARIS LYON;MULHOUSE VILLE;174;337;24;22;15;6;15.62;21.88
2023-01;PARIS LYON;TOULON;247;283;10;31;19;7;32.26;19.35
2023-01;PARIS MONTPARNASSE;BORDEAUX ST JEAN;138;1021;58;101;55;28;17.04;20.74
2023-01;PARIS MONTPARNASSE;BREST;228;292;22;24;14;9;8.33;12.5
2023-01;PARIS MONTPARNASSE;VANNES;156;265;14;29;15;5;24.32;16.22
2023-01;RENNES;PARIS MONTPARNASSE;101;800;30;73;37;24;27.45;23.53
2023-01;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;173;119;6;7;5;4;0.0;28.57
2023-01;TOULON;PARIS LYON;248;272;12;37;18;9;27.03;8.11
2023-01;AVIGNON TGV;PARIS LYON;166;433;17;38;24;7;15.79;7.02
2023-01;DIJON VILLE;PARIS LYON;102;417;21;37;20;14;25.0;22.73
2023-01;LE MANS;PARIS MONTPARNASSE;58;470;16;31;19;4;24.56;21.05
2023-01;LILLE;LYON PART DIEU;184;358;22;35;23;2;2.33;37.21
2023-01;LILLE;MARSEILLE ST CHARLES;297;242;13;32;12;5;12.5;25.0
2023-01;LILLE;PARIS NORD;68;672;25;28;13;11;5.61;13.7
2023-01;MARNE LA VALLEE;LYON PART DIEU;110;389;24;36;24;3;3.17;38.1
2023-01;MARSEILLE ST CHARLES;LYON PART DIEU;103;462;23;32;21;6;15.56;13.33
2023-01;MARSEILLE ST CHARLES;PARIS LYON;201;503;14;56;29;11;25.0;12.5
2023-01;PARIS EST;NANCY;96;286;24;25;16;7;12.12;39.39
2023-01;PARIS EST;STRASBOURG;114;580;50;60;32;15;0.0;43.53
2023-01;PARIS LYON;DIJON VILLE;100;431;19;18;8;3;11.54;30.77
2023-01;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;85;208;9;9;1;0;23.53;11.76
2023-01;PARIS LYON;MACON LOCHE;100;274;16;30;9;1;13.16;52.63
2023-01;PARIS LYON;NIMES;185;195;4;20;11;4;4.76;57.14
2023-01;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;174;119;10;11;4;1;6.67;26.67
2023-01;PARIS LYON;VALENCE ALIXAN TGV;136;372;15;41;27;6;12.5;35.71
2023-01;PARIS MONTPARNASSE;LAVAL;78;317;8;18;7;3;10.0;20.0
2023-01;PARIS MONTPARNASSE;QUIMPER;226;234;13;27;13;5;29.63;7.41
2023-01;PARIS MONTPARNASSE;TOULOUSE MATABIAU;263;221;17;29;16;9;17.24;27.59
2023-01;PARIS NORD;DOUAI;70;142;8;6;5;1;6.25;18.75
2023-01;PARIS NORD;LILLE;66;651;24;23;13;8;3.95;22.66
2023-01;PERPIGNAN;PARIS LYON;312;193;12;20;8;3;15.0;15.0
2023-01;POITIERS;PARIS MONTPARNASSE;100;456;29;31;15;10;16.98;22.64
2023-01;STRASBOURG;NANTES;334;58;4;2;0;0;0.0;0.0
2023-01;TOURS;PARIS MONTPARNASSE;78;194;8;6;0;0;22.22;5.56
2023-02;ANGERS SAINT LAUD;PARIS MONTPARNASSE;96;491;16;28;12;6;24.39;19.51
2023-02;ARRAS;PARIS NORD;50;460;10;44;19;5;45.74;15.96
2023-02;BORDEAUX ST JEAN;TOURCOING;333;27;2;2;1;1;0.0;0.0
2023-02;DOUAI;PARIS NORD;75;169;4;13;5;3;45.16;9.68
2023-02;LE MANS;PARIS MONTPARNASSE;58;424;11;29;9;2;27.78;23.61
2023-02;LYON PART DIEU;MARNE LA VALLEE;110;284;9;27;12;6;4.41;30.88
2023-02;LYON PART DIEU;RENNES;240;78;3;5;3;1;40.0;0.0
2023-02;MARSEILLE ST CHARLES;TOURCOING;284;27;1;7;4;2;28.57;0.0
2023-02;MONTPELLIER;LYON PART DIEU;115;175;11;12;3;1;5.0;15.0
2023-02;MULHOUSE VILLE;PARIS LYON;174;304;17;15;10;6;45.83;20.83
2023-02;NANTES;PARIS MONTPARNASSE;134;553;20;28;12;6;25.71;17.14
2023-02;PARIS EST;STRASBOURG;114;490;18;30;13;5;10.64;38.3
2023-02;PARIS LYON;ANNECY;229;143;7;19;11;3;10.53;42.11
2023-02;PARIS LYON;AVIGNON TGV;164;363;10;26;12;6;16.67;22.22
2023-02;PARIS LYON;BESANCON FRANCHE COMTE TGV;133;156;13;7;6;1;10.0;10.0
2023-02;PARIS LYON;MULHOUSE VILLE;174;304;17;15;12;2;13.64;4.55
2023-02;PARIS LYON;PERPIGNAN;310;174;18;10;7;1;20.0;30.0
2023-02;PARIS LYON;TOULON;246;242;10;35;17;2;20.59;5.88
2023-02;PARIS MONTPARNASSE;NANTES;134;534;21;19;10;3;22.73;18.18
2023-02;PARIS MONTPARNASSE;ST PIERRE DES CORPS;65;462;21;10;3;0;0.0;47.83
2023-02;PARIS MONTPARNASSE;TOULOUSE MATABIAU;266;200;13;22;10;5;27.27;4.55
2023-02;PARIS NORD;DUNKERQUE;128;177;5;16;6;2;50.0;27.78
2023-02;RENNES;LYON PART DIEU;238;78;4;4;3;0;25.0;25.0
2023-02;RENNES;PARIS MONTPARNASSE;100;715;17;40;20;7;27.94;35.29
2023-02;STRASBOURG;NANTES;333;52;1;3;0;0;0.0;33.33
2023-02;STRASBOURG;PARIS EST;116;473;13;47;27;8;7.46;11.94
2023-02;ANGOULEME;PARIS MONTPARNASSE;125;298;17;18;5;0;34.62;26.92
2023-02;CHAMBERY CHALLES LES EAUX;PARIS LYON;183;333;13;69;27;13;16.05;3.7
2023-02;LYON PART DIEU;MONTPELLIER;112;196;12;17;9;3;20.0;10.0
2023-02;MARSEILLE ST CHARLES;MARNE LA VALLEE;210;244;6;29;16;7;13.79;24.14
2023-02;MONTPELLIER;PARIS LYON;212;218;8;17;12;5;23.53;41.18
2023-02;NIMES;PARIS LYON;181;211;7;17;12;5;19.05;33.33
2023-02;PARIS LYON;AIX EN PROVENCE TGV;187;411;13;33;14;7;6.06;24.24
2023-02;PARIS LYON;CHAMBERY CHALLES LES EAUX;182;360;11;43;16;5;15.87;28.57
2023-02;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;85;185;8;10;6;2;6.67;26.67
2023-02;PARIS LYON;LYON PART DIEU;123;638;35;44;18;7;9.8;27.45
2023-02;PARIS LYON;NIMES;185;164;6;13;7;1;30.77;30.77
2023-02;PARIS MONTPARNASSE;LA ROCHELLE VILLE;178;208;17;8;5;0;0.0;33.33
2023-02;PARIS MONTPARNASSE;RENNES;100;660;21;19;3;0;23.68;23.68
2023-02;REIMS;PARIS EST;46;213;7;7;5;2;30.77;0.0
2023-02;BELLEGARDE (AIN);PARIS LYON;168;252;12;26;14;6;17.24;34.48
2023-02;BREST;PARIS MONTPARNASSE;228;258;8;12;9;4;16.67;33.33
2023-02;LILLE;LYON PART DIEU;184;324;11;22;7;4;12.81;41.98
2023-02;LILLE;MARSEILLE ST CHARLES;297;219;3;26;12;5;19.23;38.46
2023-02;LILLE;PARIS NORD;69;617;8;52;26;6;30.84;18.07
2023-02;LYON PART DIEU;MARSEILLE ST CHARLES;103;414;16;52;16;7;14.93;22.39
2023-02;MARSEILLE ST CHARLES;LILLE;282;174;3;37;17;8;2.7;24.32
2023-02;MARSEILLE ST CHARLES;LYON PART DIEU;103;392;19;33;20;5;5.13;10.26
2023-02;METZ;PARIS EST;91;264;6;22;8;1;6.9;20.69
2023-02;NANCY;PARIS EST;95;251;3;9;4;0;0.0;23.08
2023-02;PARIS EST;METZ;89;238;6;12;3;1;16.67;16.67
2023-02;PARIS EST;NANCY;96;252;4;6;3;0;36.36;27.27
2023-02;PARIS LYON;BELLEGARDE (AIN);168;255;15;31;16;8;15.79;15.79
2023-02;PARIS LYON;MARSEILLE ST CHARLES;201;504;15;38;22;7;5.26;21.05
2023-02;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;173;88;11;6;3;0;0.0;22.22
2023-02;PARIS LYON;VALENCE ALIXAN TGV;136;316;14;20;11;3;20.69;31.03
2023-02;PARIS MONTPARNASSE;ANGERS SAINT LAUD;95;458;14;12;7;0;23.08;26.92
2023-02;PARIS MONTPARNASSE;ANGOULEME;125;275;21;10;4;1;14.29;14.29
2023-02;PARIS MONTPARNASSE;BORDEAUX ST JEAN;141;920;45;32;16;2;12.24;26.53
2023-02;PARIS MONTPARNASSE;TOURS;77;178;5;2;0;0;0.0;40.0
2023-02;VALENCE ALIXAN TGV;PARIS LYON;135;331;17;23;15;7;16.0;16.0
2023-02;AIX EN PROVENCE TGV;PARIS LYON;188;380;12;32;24;7;9.38;15.62
2023-02;AVIGNON TGV;PARIS LYON;166;381;12;28;21;7;8.51;14.89
2023-02;BESANCON FRANCHE COMTE TGV;PARIS LYON;136;165;9;12;7;5;53.33;33.33
2023-02;DIJON VILLE;PARIS LYON;102;381;21;23;15;7;38.24;14.71
2023-02;DUNKERQUE;PARIS NORD;131;154;5;15;8;2;55.0;20.0
2023-02;LA ROCHELLE VILLE;PARIS MONTPARNASSE;172;192;16;8;2;0;14.29;28.57
2023-02;LYON PART DIEU;PARIS LYON;123;640;31;43;24;5;16.67;20.0
2023-02;MARNE LA VALLEE;LYON PART DIEU;110;352;11;24;7;4;12.2;39.02
2023-02;MARNE LA VALLEE;MARSEILLE ST CHARLES;215;245;5;26;12;5;19.23;38.46
2023-02;PARIS EST;REIMS;46;215;4;9;4;0;7.69;23.08
2023-02;PARIS LYON;GRENOBLE;186;228;14;26;13;1;15.38;19.23
2023-02;PARIS LYON;MONTPELLIER;217;178;8;15;8;2;26.67;20.0
2023-02;PARIS LYON;NICE VILLE;353;198;6;29;14;3;24.14;3.45
2023-02;PARIS NORD;ARRAS;48;469;13;32;16;5;13.43;28.36
2023-02;PARIS NORD;DOUAI;70;128;3;9;3;1;20.0;35.0
2023-02;PARIS NORD;LILLE;66;600;15;34;16;6;21.96;23.2
2023-02;PERPIGNAN;PARIS LYON;312;172;12;13;9;4;38.46;23.08
2023-02;POITIERS;PARIS MONTPARNASSE;99;423;19;29;7;0;22.54;26.76
2023-02;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;173;88;5;3;1;0;16.67;33.33
2023-02;ST MALO;PARIS MONTPARNASSE;153;88;1;5;2;1;42.86;42.86
2023-02;ST PIERRE DES CORPS;PARIS MONTPARNASSE;65;487;20;20;6;0;10.71;26.79
2023-02;TOULON;PARIS LYON;247;229;11;19;14;3;0.0;26.32
2023-02;TOURCOING;BORDEAUX ST JEAN;298;27;2;1;1;1;0.0;100.0
2023-02;TOURS;PARIS MONTPARNASSE;78;176;7;8;3;0;0.0;29.41
2023-02;VANNES;PARIS MONTPARNASSE;166;256;4;17;7;2;21.74;34.78
2023-02;ANNECY;PARIS LYON;228;143;9;32;11;5;18.75;6.25
2023-02;BORDEAUX ST JEAN;PARIS MONTPARNASSE;140;964;46;75;29;4;24.0;21.0
2023-02;GRENOBLE;PARIS LYON;187;209;15;18;7;0;11.11;16.67
2023-02;LAVAL;PARIS MONTPARNASSE;81;267;5;13;6;1;16.13;25.81
2023-02;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;85;194;9;17;8;2;17.5;10.0
2023-02;LYON PART DIEU;LILLE;187;264;8;58;22;10;7.69;16.67
2023-02;MACON LOCHE;PARIS LYON;99;225;14;47;15;5;22.03;6.78
2023-02;MARSEILLE ST CHARLES;PARIS LYON;201;440;11;37;26;7;8.11;18.92
2023-02;NANTES;STRASBOURG;313;52;1;3;2;1;0.0;33.33
2023-02;NICE VILLE;PARIS LYON;355;189;6;17;12;3;0.0;23.53
2023-02;PARIS LYON;DIJON VILLE;100;396;20;22;14;4;19.23;3.85
2023-02;PARIS LYON;MACON LOCHE;99;252;11;17;11;3;8.0;52.0
2023-02;PARIS MONTPARNASSE;BREST;230;264;16;6;3;0;16.67;16.67
2023-02;PARIS MONTPARNASSE;LAVAL;80;282;7;13;3;1;6.9;31.03
2023-02;PARIS MONTPARNASSE;LE MANS;57;388;9;8;0;0;8.0;28.0
2023-02;PARIS MONTPARNASSE;POITIERS;96;520;30;17;7;0;12.0;40.0
2023-02;PARIS MONTPARNASSE;QUIMPER;227;201;7;14;6;1;28.57;0.0
2023-02;PARIS MONTPARNASSE;ST MALO;156;88;8;3;1;0;66.67;33.33
2023-02;PARIS MONTPARNASSE;VANNES;158;229;10;15;3;1;17.39;21.74
2023-02;QUIMPER;PARIS MONTPARNASSE;233;218;4;14;6;2;14.29;14.29
2023-02;TOULOUSE MATABIAU;PARIS MONTPARNASSE;268;198;7;19;10;1;42.11;15.79
2023-03;AIX EN PROVENCE TGV;PARIS LYON;189;436;71;46;31;22;41.3;4.35
2023-03;BREST;PARIS MONTPARNASSE;226;282;65;17;9;2;11.76;35.29
2023-03;DOUAI;PARIS NORD;74;192;37;10;2;0;19.35;12.9
2023-03;DUNKERQUE;PARIS NORD;131;173;46;11;2;2;35.29;17.65
2023-03;LA ROCHELLE VILLE;PARIS MONTPARNASSE;174;222;94;10;3;1;28.57;21.43
2023-03;LE MANS;PARIS MONTPARNASSE;59;472;88;28;19;10;30.77;13.46
2023-03;LILLE;LYON PART DIEU;184;375;143;34;21;12;23.68;18.42
2023-03;LILLE;PARIS NORD;68;681;113;28;7;1;19.6;22.75
2023-03;MARNE LA VALLEE;LYON PART DIEU;110;405;149;37;22;13;21.28;23.4
2023-03;NICE VILLE;PARIS LYON;356;222;39;29;19;10;31.03;6.9
2023-03;PARIS LYON;AVIGNON TGV;165;407;77;45;31;14;39.22;11.76
2023-03;PARIS LYON;DIJON VILLE;101;377;48;38;27;15;40.91;9.09
2023-03;PARIS LYON;MACON LOCHE;99;288;75;32;19;11;14.29;22.86
2023-03;PARIS LYON;MULHOUSE VILLE;173;280;45;31;22;15;35.29;14.71
2023-03;PARIS LYON;NIMES;186;209;43;23;17;7;39.13;17.39
2023-03;PARIS MONTPARNASSE;ANGERS SAINT LAUD;98;509;121;27;13;3;15.0;20.0
2023-03;PARIS MONTPARNASSE;BREST;231;283;97;13;6;2;0.0;23.08
2023-03;PARIS MONTPARNASSE;VANNES;160;279;97;21;8;4;11.11;14.81
2023-03;PARIS NORD;DUNKERQUE;127;200;44;5;1;0;22.22;33.33
2023-03;QUIMPER;PARIS MONTPARNASSE;235;271;52;17;12;6;5.88;17.65
2023-03;ANGOULEME;PARIS MONTPARNASSE;126;319;90;22;7;3;25.0;20.83
2023-03;ANNECY;PARIS LYON;227;158;39;24;13;6;33.33;4.17
2023-03;ARRAS;PARIS NORD;50;513;109;26;5;3;24.66;15.07
2023-03;AVIGNON TGV;PARIS LYON;167;437;90;45;33;23;35.29;9.8
2023-03;BORDEAUX ST JEAN;PARIS MONTPARNASSE;140;1066;297;92;29;19;27.93;15.32
2023-03;CHAMBERY CHALLES LES EAUX;PARIS LYON;181;352;66;54;28;14;31.15;1.64
2023-03;DIJON VILLE;PARIS LYON;102;398;65;36;27;17;51.16;11.63
2023-03;GRENOBLE;PARIS LYON;188;224;107;19;10;4;21.05;26.32
