Enhet;Kategori;Kökssvinn  (i kg);År;Månad
Algården;Föskola;44,0;2023;april
Annexet;Föskola;;2023;april
Badparken;Föskola;1,7;2023;april
Bergvik;Föskola;;2023;april
Björkbacken;Föskola;21,0;2023;april
Björken;Föskola;;2023;april
Björkäng;Föskola;11,8;2023;april
Blombacka fsk;Föskola;6,8;2023;april
Blomman;Föskola;;2023;april
Bofinken;Föskola;5,0;2023;april
Brolunda;Föskola;4,1;2023;april
Burspråket;Föskola;4,8;2023;april
Eken;Föskola;10,0;2023;april
Fasaden;Föskola;7,0;2023;april
Filen;Föskola;5,3;2023;april
Folkparken;Föskola;;2023;april
Glasberga;Föskola;10,0;2023;april
Glasberg pav;Föskola;;2023;april
Granö;Föskola;;2023;april
Grusåsen;Föskola;8,1;2023;april
Gullpudran;Föskola;9,0;2023;april
Hovsjö;Föskola;;2023;april
Hästhoven;Föskola;3,0;2023;april
Högmohöjden;Föskola;2,5;2023;april
Hölö fsk;Föskola;4,5;2023;april
Kaxberg;Föskola;;2023;april
Körsbäret;Föskola;6,0;2023;april
Lina fsk;Föskola;;2023;april
Ljunbacken;Föskola;40,0;2023;april
Lärkan;Föskola;3,9;2023;april
Morellen;Föskola;;2023;april
Måsen;Föskola;8,0;2023;april
Mölnboskogen;Föskola;37,0;2023;april
Oxbacken;Föskola;5,6;2023;april
Oxelgrenshagen;Föskola;11,0;2023;april
Petunian;Föskola;1,0;2023;april
Pumpan;Föskola;18,0;2023;april
Pärlan;Föskola;;2023;april
Rubinen;Föskola;7,6;2023;april
Rösberga;Föskola;12,5;2023;april
Saltsjön 1-3;Föskola;;2023;april
Saltsjön 4-5;Föskola;15,0;2023;april
Skeppet;Föskola;;2023;april
Skogsbrynet;Föskola;3,0;2023;april
Solhem;Föskola;3,6;2023;april
Sommaräng;Föskola;18,0;2023;april
Starrbäcken;Föskola;7,5;2023;april
Svingeln;Föskola;6,3;2023;april
Taket;Föskola;18,0;2023;april
Trossen;Föskola;;2023;april
Trädgården;Föskola;25,0;2023;april
Tygeln;Föskola;;2023;april
Vikingen 1;Föskola;4,0;2023;april
Vikingen 2;Föskola;3,0;2023;april
Valla fsk;Föskola;;2023;april
Viksberg fsk;Föskola;2,0;2023;april
Växthuset;Föskola;;2023;april
Årsboken;Föskola;15,0;2023;april
Ängsviolen;Föskola;16,0;2023;april
