Enhet,Kategori,Kökssvinn(i kg),År,Månad
Algården,Föskola,45.0,2023,februari
Annexet,Föskola,11.7,2023,februari
Badparken,Föskola,1.9,2023,februari
Bergvik,Föskola,9.4,2023,februari
Björkbacken,Föskola,19.0,2023,februari
Björken,Föskola,24.0,2023,februari
Björkäng,Föskola,14.6,2023,februari
Blombacka fsk,Föskola,38.7,2023,februari
Blomman,Föskola,,2023,februari
Bofinken,Föskola,,2023,februari
Brolunda,Föskola,4.9,2023,februari
Burspråket,Föskola,2.0,2023,februari
Eken,Föskola,10.0,2023,februari
Fasaden,Föskola,5.0,2023,februari
Filen,Föskola,7.4,2023,februari
Folkparken,Föskola,,2023,februari
Glasberga,Föskola,12.0,2023,februari
Glasberg pav,Föskola,,2023,februari
Granö,Föskola,12.0,2023,februari
Grusåsen,Föskola,7.0,2023,februari
Gullpudran,Föskola,13.0,2023,februari
Hovsjö,Föskola,,2023,februari
Hästhoven,Föskola,,2023,februari
Högmohöjden,Föskola,2.5,2023,februari
Hölö fsk,Föskola,5.5,2023,februari
Kaxberg,Föskola,,2023,februari
Körsbäret,Föskola,20.0,2023,februari
Lina fsk,Föskola,12.0,2023,februari
Ljunbacken,Föskola,42.0,2023,februari
Lärkan,Föskola,7.7,2023,februari
Morellen,Föskola,6.0,2023,februari
Måsen,Föskola,7.0,2023,februari
Mölnboskogen,Föskola,25.0,2023,februari
Oxbacken,Föskola,18.2,2023,februari
Oxelgrenshagen,Föskola,11.0,2023,februari
Petunian,Föskola,1.0,2023,februari
Pumpan,Föskola,,2023,februari
Pärlan,Föskola,,2023,februari
Rubinen,Föskola,,2023,februari
Rösberga,Föskola,14.7,2023,februari
Saltsjön 1-3,Föskola,10.0,2023,februari
Saltsjön 4-5,Föskola,16.0,2023,februari
Skeppet,Föskola,6.2,2023,februari
Skogsbrynet,Föskola,4.5,2023,februari
Solhem,Föskola,,2023,februari
Sommaräng,Föskola,21.0,2023,februari
Starrbäcken,Föskola,,2023,februari
Svingeln,Föskola,5.2,2023,februari
Taket,Föskola,15.0,2023,februari
Trossen,Föskola,4.3,2023,februari
Trädgården,Föskola,22.0,2023,februari
Tygeln,Föskola,,2023,februari
Valla fsk,Föskola,,2023,februari
Viksberg fsk,Föskola,2.0,2023,februari
Vikingen 1,Föskola,4.0,2023,februari
Vikingen 2,Föskola,3.0,2023,februari
Växthuset,Föskola,,2023,februari
Årsboken,Föskola,17.3,2023,februari
Ängsviolen,Föskola,13.0,2023,februari
