Enhet,Kategori,Kökssvinn(i kg),År,Månad
Algården,Föskola,43.0,2023,Januari
Annexet,Föskola,7.3,2023,Januari
Badparken,Föskola,2.4,2023,Januari
Bergvik,Föskola,,2023,Januari
Björkbacken,Föskola,16.0,2023,Januari
Björken,Föskola,21.5,2023,Januari
Björkäng,Föskola,13.7,2023,Januari
Blombacka fsk,Föskola,40.0,2023,Januari
Blomman,Föskola,,2023,Januari
Bofinken,Föskola,,2023,Januari
Braxen fsk,Föskola,,2023,Januari
Brolunda,Föskola,4.4,2023,Januari
Burspråket,Föskola,1.6,2023,Januari
Eken,Föskola,6.0,2023,Januari
Fasaden,Föskola,,2023,Januari
Filen,Föskola,9.1,2023,Januari
Folkparken,Föskola,,2023,Januari
Glasberga,Föskola,13.6,2023,Januari
Glasberg pav,Föskola,,2023,Januari
Granö,Föskola,8.0,2023,Januari
Grusåsen,Föskola,6.2,2023,Januari
Gullpudran,Föskola,22.0,2023,Januari
Hovsjö,Föskola,,2023,Januari
Hästhoven,Föskola,,2023,Januari
Högmohöjden,Föskola,2.0,2023,Januari
Hölö fsk,Föskola,5.1,2023,Januari
Kaxberg,Föskola,,2023,Januari
Körsbäret,Föskola,20.0,2023,Januari
Lina fsk,Föskola,8.8,2023,Januari
Ljunbacken,Föskola,40.0,2023,Januari
Lärkan,Föskola,6.7,2023,Januari
Morellen,Föskola,6.0,2023,Januari
Måsen,Föskola,10.0,2023,Januari
Mölnboskogen,Föskola,28.0,2023,Januari
Oxbacken,Föskola,19.0,2023,Januari
Oxelgrenshagen,Föskola,13.0,2023,Januari
Petunian,Föskola,0.7,2023,Januari
Pumpan,Föskola,23.8,2023,Januari
Pärlan,Föskola,19.0,2023,Januari
Rubinen,Föskola,,2023,Januari
Rösberga,Föskola,16.9,2023,Januari
Saltsjön 1-3,Föskola,9.0,2023,Januari
Saltsjön 4-5,Föskola,17.0,2023,Januari
Skeppet,Föskola,3.2,2023,Januari
Skogsbrynet,Föskola,4.3,2023,Januari
Solhem,Föskola,,2023,Januari
Sommaräng,Föskola,,2023,Januari
Starrbäcken,Föskola,6.7,2023,Januari
Svingeln,Föskola,4.8,2023,Januari
Taket,Föskola,,2023,Januari
Trossen,Föskola,4.7,2023,Januari
Trädgården,Föskola,18.0,2023,Januari
Tygeln,Föskola,,2023,Januari
Vikingen 1,Föskola,9.0,2023,Januari
Vikingen 2,Föskola,8.0,2023,Januari
Valla fsk,Föskola,,2023,Januari
Vattentornet,Föskola,,2023,Januari
Viksberg fsk,Föskola,4.0,2023,Januari
Växthuset,Föskola,,2023,Januari
Årsboken,Föskola,19,2023,Januari
Ängsviolen,Föskola,12,2023,Januari

