Enhet;Kategori;Kökssvinn  (i kg);År;Månad
Algården;Föskola;;2023;Mars
Annexet;Föskola;;2023;Mars
Badparken;Föskola;2,6;2023;Mars
Bergvik;Föskola;;2023;Mars
Björkbacken;Föskola;24,0;2023;Mars
Björken;Föskola;25,0;2023;Mars
Björkäng;Föskola;17,5;2023;Mars
Blombacka fsk;Föskola;13,4;2023;Mars
Blomman;Föskola;2,0;2023;Mars
Bofinken;Föskola;5,6;2023;Mars
Brolunda;Föskola;5,1;2023;Mars
Burspråket;Föskola;2,0;2023;Mars
Eken;Föskola;21,0;2023;Mars
Fasaden;Föskola;5,0;2023;Mars
Filen;Föskola;7,8;2023;Mars
Folkparken;Föskola;;2023;Mars
Glasberga;Föskola;17,0;2023;Mars
Glasberg pav;Föskola;31,5;2023;Mars
Granö;Föskola;;2023;Mars
Grusåsen;Föskola;8,6;2023;Mars
Gullpudran;Föskola;13,0;2023;Mars
Hovsjö;Föskola;20,0;2023;Mars
Hästhoven;Föskola;10,2;2023;Mars
Högmohöjden;Föskola;;2023;Mars
Hölö fsk;Föskola;4,5;2023;Mars
Kaxberg;Föskola;;2023;Mars
Körsbäret;Föskola;17,0;2023;Mars
Lina fsk;Föskola;14,7;2023;Mars
Ljunbacken;Föskola;;2023;Mars
Lärkan;Föskola;6,2;2023;Mars
Morellen;Föskola;7,0;2023;Mars
Måsen;Föskola;8,0;2023;Mars
Mölnboskogen;Föskola;30,0;2023;Mars
Oxbacken;Föskola;18,9;2023;Mars
Oxelgrenshagen;Föskola;10,0;2023;Mars
Petunian;Föskola;1,0;2023;Mars
Pumpan;Föskola;21,0;2023;Mars
Pärlan;Föskola;;2023;Mars
Rubinen;Föskola;5,4;2023;Mars
Rösberga;Föskola;17,5;2023;Mars
Saltsjön 1-3;Föskola;11,0;2023;Mars
Saltsjön 4-5;Föskola;15,0;2023;Mars
Skeppet;Föskola;;2023;Mars
Skogsbrynet;Föskola;3,5;2023;Mars
Solhem;Föskola;11,0;2023;Mars
Sommaräng;Föskola;;2023;Mars
Starrbäcken;Föskola;;2023;Mars
Svingeln;Föskola;7,9;2023;Mars
Taket;Föskola;;2023;Mars
Trossen;Föskola;7,8;2023;Mars
Trädgården;Föskola;16,0;2023;Mars
Tygeln;Föskola;;2023;Mars
Vikingen 1;Föskola;5,0;2023;Mars
Vikingen 2;Föskola;4,0;2023;Mars
Valla fsk;Föskola;;2023;Mars
Viksberg fsk;Föskola;5,0;2023;Mars
Växthuset;Föskola;;2023;Mars
Årsboken;Föskola;20,5;2023;Mars
Ängsviolen;Föskola;25,5;2023;Mars
